GM_country,GM_city,GM_state,GM_zipcode,Map_search
 United States, Seattle,WA,98125,U.S. Bank NORTHGATE
 Pakistan,null,null,null,United Bank Limited BANK ISLAMI PAKISTAN LTD
 Pakistan,null,null,null,United Bank Limited BANK ISLAMI PAKISTAN LTD
 Pakistan,null,null,null,United Bank Limited BANK ISLAMI PAKISTAN LTD
 United Kingdom,null,null,null,Clydesdale Bank GLASGOW BASED - UK WIDE
 United Kingdom,null,null,null,Clydesdale Bank GLASGOW BASED - UK WIDE
 United Kingdom,null,null,null,Clydesdale Bank GLASGOW BASED - UK WIDE
 United Kingdom,null,null,null,Clydesdale Bank VARIOUS WEST OF SCOTLAND
 United Kingdom,null,null,null,Clydesdale Bank VARIOUS WEST OF SCOTLAND
 United Kingdom,null,null,null,Clydesdale Bank VARIOUS WEST OF SCOTLAND
